date,equity_return,Mkt-RF,SMB,HML,RF,growth_yoy,cpi_yoy,unemployment_delta,yield_spread_delta,credit_spread_delta,growth_yoy_zscore,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore,credit_spread_delta_zscore
2015-06-30,-0.021011671979729973,-0.0152,0.0294,-0.008199999999999999,0.0,-0.021063902272837942,0.001795718097550525,-0.03333333333333351,0.10999999999999988,0.09000000000000001,-0.8866522573681199,-1.2196865842816322,-0.13221768519012464,0.5190563261609341,0.7563338536124466
2015-07-31,0.019742029435184882,0.015700000000000002,-0.0417,-0.0416,0.0,-0.016903126553953207,0.0022568611104094582,-0.06666666666666672,0.12333333333333336,0.11333333333333329,-0.8063293667574231,-1.2030421957269193,-0.2698449988958488,0.5815323189431247,0.95380707527703
2015-08-31,-0.06258081825586559,-0.0602,0.0037,0.0275,0.0,-0.016854337113987983,0.002413037985344868,-0.16666666666666666,-0.02666666666666669,0.11000000000000032,-0.8053874969922499,-1.1974051839600708,-0.6827269400130225,-0.12132259985651303,0.9255966150392354
2015-09-30,-0.026442831280001466,-0.030600000000000002,-0.0263,0.0055000000000000005,0.0,-0.022407414414912674,8.842961634170088e-05,-0.09999999999999994,-0.06333333333333331,0.1333333333333333,-0.9125884736203473,-1.2813090572755326,-0.40747231260157296,-0.2931315800075353,1.123069836703816
2015-10-31,0.08298311781266654,0.0775,-0.019,-0.004699999999999999,0.0,-0.027250660674994598,0.0012761656067050708,-0.06666666666666672,-0.08000000000000007,0.1299999999999999,-1.0060863129255389,-1.2384391909374033,-0.2698449988958488,-0.3712265709852733,1.094859376466018
2015-11-30,0.0005048691103348713,0.005699999999999999,0.0358,-0.0043,0.0,-0.04033068306068888,0.004363182169185187,0.0,0.013333333333333197,0.05999999999999991,-1.2585933640754141,-1.1270171337707873,0.005409628515600735,0.06610537849005647,0.5024397114722665
2015-12-31,-0.017530185032692547,-0.0215,-0.027999999999999997,-0.025699999999999997,0.0001,-0.04496144811599123,0.006387247515364791,0.0,-0.04666666666666656,0.016666666666666607,-1.3479892988989786,-1.0539609903564475,0.005409628515600735,-0.21503658902979741,0.13570372838089684
2016-01-31,-0.0507353220469523,-0.0574,-0.034,0.0208,0.0001,-0.03236256019749162,0.012375025026943876,-0.06666666666666672,-0.07333333333333332,0.0300000000000001,-1.104770446342002,-0.8378395427733689,-0.2698449988958488,-0.33998857459417786,0.24854556933208893
2016-02-29,-0.0041283603090035426,-0.0006,0.0073,-0.0060999999999999995,0.0002,-0.031193297695960798,0.008472775790126619,-0.06666666666666643,-0.22333333333333324,0.11999999999999982,-1.0821980823524275,-0.9786864183060738,-0.2698449988958476,-1.042843493393815,1.0102279957526241
2016-03-31,0.06599111444005845,0.0695,0.0075,0.012199999999999999,0.0002,-0.03515311400177057,0.008916160965521946,0.0,-0.1366666666666668,0.006666666666666821,-1.1586414942206515,-0.9626829770028507,0.005409628515600735,-0.6367495403095811,0.05107234766750557
2016-04-30,0.0026993982833325436,0.0092,0.0077,0.0322,0.0001,-0.026579036961380753,0.011726257503534843,0.09999999999999994,-0.08333333333333326,-0.1266666666666668,-0.993120759931345,-0.86125600673398,0.4182915696327744,-0.3868455691808201,-1.0773460618444044
2016-05-31,0.015324602525288444,0.0178,-0.0018,-0.016200000000000003,0.0001,-0.02448153056399993,0.010784764621246223,-0.03333333333333351,0.023333333333333355,-0.22999999999999998,-0.9526288448907487,-0.895238031653226,-0.13221768519012464,0.11296237307669971,-1.9518703292161317
2016-06-30,0.0009109212401243738,-0.0003,0.006,-0.0149,0.0002,-0.01678117946525337,0.010792865347959424,-0.033333333333333215,-0.07666666666666666,-0.11666666666666654,-0.8039752041378249,-0.8949456459090419,-0.13221768519012342,-0.35560757278972543,-0.9927146811310091
2016-07-31,0.035609800753315435,0.0394,0.0245,-0.0124,0.0002,-0.02196738284260069,0.008683633430518256,-0.09999999999999994,-0.1266666666666667,-0.08666666666666674,-0.9040937576740762,-0.9710757717202131,-0.40747231260157296,-0.5898925457229381,-0.7388205389908317
